Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Attendance,Goalkeeper,Top Team Scorers,Top Team Goals
2013,7,0,6.0,38.0,17.0,8.0,13.0,60.0,44.0,16.0,59.0,16280.0,['Sergio Asenjo'],['Ikechukwu Uche'],13.0
2012,7,6,2.0,42.0,21.0,14.0,7.0,68.0,38.0,30.0,77.0,10601.0,['Juan Carlos'],['Ikechukwu Uche'],14.0
2011,7,0,18.0,38.0,9.0,14.0,15.0,39.0,53.0,-14.0,41.0,18000.0,['Diego López'],['Marco Ruben'],9.0
2010,7,0,4.0,38.0,18.0,8.0,12.0,54.0,44.0,10.0,62.0,18826.0,['Diego López'],['Giuseppe Rossi'],18.0
2009,7,0,7.0,38.0,16.0,8.0,14.0,58.0,57.0,1.0,56.0,17089.0,['Diego López'],['Nilmar'],11.0
2008,7,0,5.0,38.0,18.0,11.0,9.0,61.0,54.0,7.0,65.0,18195.0,['Diego López'],['Joseba Llorente'],15.0
2007,7,0,2.0,38.0,24.0,5.0,9.0,63.0,40.0,23.0,77.0,19442.0,['Diego López'],['Nihat Kahveci'],18.0
2006,7,0,5.0,38.0,18.0,8.0,12.0,48.0,44.0,4.0,62.0,18251.0,['Sebastián Viera'],['Diego Forlán'],19.0
2005,7,0,7.0,38.0,14.0,15.0,9.0,50.0,39.0,11.0,57.0,17526.0,['Sebastián Viera'],['Juan Román Riquelme'],12.0
2004,7,0,3.0,38.0,18.0,11.0,9.0,69.0,37.0,32.0,65.0,17895.0,['Pepe Reina'],['Diego Forlán'],24.0
2003,7,0,8.0,38.0,15.0,9.0,14.0,47.0,49.0,-2.0,54.0,16016.0,['Pepe Reina'],['Sonny Anderson'],12.0
2002,7,0,15.0,38.0,11.0,12.0,15.0,44.0,53.0,-9.0,45.0,17126.0,['Pepe Reina'],"['Jorge López', 'Víctor']",8.0
2001,7,0,15.0,38.0,11.0,10.0,17.0,46.0,55.0,-9.0,43.0,16137.0,['Javier López Vallejo'],['Víctor'],14.0
2000,7,0,7.0,38.0,16.0,9.0,13.0,58.0,52.0,6.0,57.0,15368.0,['Javier López Vallejo'],['Víctor'],14.0
1998,7,0,18.0,38.0,8.0,12.0,18.0,47.0,63.0,-16.0,36.0,15368.0,,['Gheorghe Craioveanu'],13.0
2023,1,2,48.0,4.0,3.0,0.0,1.0,8.0,2.0,6.0,9.0,41199.0,['Marc-André ter Stegen'],"['Ferrán Torres', 'João Félix']",2.0
2022,1,3,146.484375,2.0,0.0,1.0,1.0,3.0,4.0,-1.0,1.0,90225.0,['Marc-André ter Stegen'],"['Marcos Alonso', 'Robert Lewandowski']",1.0
2022,1,2,48.0,6.0,2.0,1.0,3.0,12.0,12.0,0.0,7.0,84576.0,['Marc-André ter Stegen'],['Robert Lewandowski'],5.0
2021,1,3,6.0,6.0,2.0,3.0,1.0,10.0,8.0,2.0,9.0,71578.0,['Marc-André ter Stegen'],"['Ferrán Torres', 'Pierre-Emerick Aubameyang']",2.0
2021,1,2,48.0,6.0,2.0,1.0,3.0,2.0,9.0,-7.0,7.0,45092.0,['Marc-André ter Stegen'],"['Gerard Piqué', 'Ansu Fati']",1.0
2020,1,2,12.0,8.0,5.0,1.0,2.0,18.0,10.0,8.0,16.0,60809.0,['Marc-André ter Stegen'],['Lionel Messi'],5.0
2019,1,2,6.0,9.0,5.0,3.0,1.0,15.0,14.0,1.0,18.0,60809.0,['Marc-André ter Stegen'],['Luis Suárez'],5.0
2018,1,2,3.5,12.0,8.0,3.0,1.0,26.0,10.0,16.0,27.0,86178.0,['Marc-André ter Stegen'],['Lionel Messi'],12.0
2017,1,2,6.0,10.0,6.0,3.0,1.0,17.0,6.0,11.0,21.0,73861.0,['Marc-André ter Stegen'],['Lionel Messi'],6.0
2016,1,2,6.0,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,85863.0,['Marc-André ter Stegen'],['Lionel Messi'],11.0
2015,1,2,6.0,10.0,7.0,2.0,1.0,22.0,8.0,14.0,23.0,74651.0,['Marc-André ter Stegen'],['Luis Suárez'],8.0
2014,1,2,1.0,13.0,11.0,0.0,2.0,31.0,11.0,20.0,33.0,89813.0,['Marc-André ter Stegen'],"['Lionel Messi', 'Neymar']",10.0
2013,1,2,6.0,10.0,5.0,3.0,2.0,21.0,8.0,13.0,18.0,76033.0,['Víctor Valdés'],['Lionel Messi'],8.0
2012,1,2,3.5,12.0,4.0,5.0,3.0,18.0,17.0,1.0,17.0,81477.0,['Víctor Valdés'],['Lionel Messi'],8.0
2011,1,2,3.5,12.0,6.0,5.0,1.0,35.0,10.0,25.0,23.0,77953.0,['Víctor Valdés'],['Lionel Messi'],14.0
2010,1,2,1.0,13.0,8.0,4.0,1.0,30.0,9.0,21.0,28.0,85535.0,['Víctor Valdés'],['Lionel Messi'],12.0
2009,1,2,3.5,12.0,3.0,7.0,2.0,20.0,10.0,10.0,16.0,82627.0,['Víctor Valdés'],['Lionel Messi'],8.0
2008,1,2,1.0,15.0,8.0,6.0,2.0,36.0,14.0,22.0,30.0,72869.0,['Víctor Valdés'],['Lionel Messi'],9.0
2007,1,2,3.5,12.0,8.0,3.0,1.0,18.0,6.0,12.0,27.0,78218.0,['Víctor Valdés'],['Lionel Messi'],6.0
2006,1,2,12.0,8.0,4.0,2.0,2.0,14.0,6.0,8.0,14.0,85626.0,['Víctor Valdés'],['Eiður Guðjohnsen'],3.0
2005,1,2,1.0,13.0,9.0,5.0,0.0,24.0,5.0,19.0,32.0,88420.0,['Víctor Valdés'],['Ronaldinho'],7.0
2004,1,2,12.0,8.0,4.0,1.0,3.0,13.0,11.0,2.0,13.0,67579.0,['Víctor Valdés'],"[""Samuel Eto'o"", 'Ronaldinho']",4.0
2003,1,3,93.75,8.0,5.0,2.0,1.0,17.0,3.0,14.0,17.0,71578.0,,['Ronaldinho'],4.0
2002,1,2,6.0,16.0,13.0,2.0,1.0,31.0,9.0,22.0,41.0,62785.0,['Roberto Bonano'],['Javier Saviola'],7.0
2001,1,2,3.5,18.0,10.0,4.0,4.0,28.0,20.0,8.0,34.0,69863.0,['Roberto Bonano'],['Patrick Kluivert'],6.0
2000,1,3,3.5,8.0,4.0,2.0,2.0,13.0,6.0,7.0,14.0,71578.0,,['Rivaldo'],5.0
2000,1,2,183.10546875,6.0,2.0,2.0,2.0,13.0,9.0,4.0,8.0,81667.0,['Richard Dutruel'],['Rivaldo'],6.0
1999,1,2,3.5,16.0,11.0,3.0,2.0,45.0,23.0,22.0,36.0,70750.0,['Ruud Hesp'],['Rivaldo'],10.0
1998,1,2,48.0,6.0,2.0,2.0,2.0,11.0,9.0,2.0,8.0,70750.0,,['Sonny Anderson'],4.0
1997,1,2,48.0,8.0,3.0,2.0,3.0,11.0,16.0,-5.0,11.0,70750.0,,['Luis Enrique'],3.0
1995,1,3,3.5,10.0,6.0,3.0,1.0,31.0,10.0,21.0,21.0,71578.0,,['Roger'],4.0
1994,1,2,6.0,8.0,2.0,3.0,3.0,13.0,11.0,2.0,7.0,70750.0,,"['Hristo Stoichkov', 'José Mari Bakero']",3.0
1993,1,2,1.5,12.0,8.0,2.0,2.0,26.0,12.0,14.0,18.0,70750.0,,['Ronald Koeman'],8.0
1992,1,2,12.0,4.0,1.0,2.0,1.0,4.0,4.0,0.0,4.0,70750.0,,['Txiki Begiristain'],2.0
1991,1,2,1.0,11.0,7.0,1.0,3.0,17.0,8.0,9.0,15.0,70750.0,,['Hristo Stoichkov'],4.0
2023,6,0,9.0,13.0,5.0,3.0,5.0,16.0,18.0,-2.0,18.0,43277.0,['Giorgi Mamardashvili'],['Hugo Duro'],6.0
2022,6,0,16.0,38.0,11.0,9.0,18.0,42.0,45.0,-3.0,42.0,40602.0,['Giorgi Mamardashvili'],"['Samuel Lino', 'Justin Kluivert']",6.0
2021,6,0,9.0,38.0,11.0,15.0,12.0,48.0,53.0,-5.0,48.0,27349.0,['Giorgi Mamardashvili'],"['Gonçalo Guedes', 'Carlos Soler']",11.0
2020,6,0,13.0,38.0,10.0,13.0,15.0,50.0,53.0,-3.0,43.0,142.0,['Jaume Doménech'],['Carlos Soler'],11.0
2019,6,0,9.0,38.0,14.0,11.0,13.0,46.0,53.0,-7.0,53.0,29658.0,['Jasper Cillessen'],['Maxi Gómez'],10.0
2018,6,0,4.0,38.0,15.0,16.0,7.0,51.0,35.0,16.0,61.0,39504.0,['Neto'],['Daniel Parejo'],9.0
2017,6,0,4.0,38.0,22.0,7.0,9.0,65.0,38.0,27.0,73.0,38607.0,['Neto'],['Rodrigo'],16.0
2016,6,0,12.0,38.0,13.0,7.0,18.0,56.0,65.0,-9.0,46.0,33866.0,['Diego Alves'],"['Simone Zaza', 'Santi Mina']",6.0
2015,6,0,12.0,38.0,11.0,11.0,16.0,46.0,48.0,-2.0,44.0,37544.0,['Jaume Doménech'],['Paco Alcácer'],13.0
2014,6,0,4.0,38.0,22.0,11.0,5.0,70.0,32.0,38.0,77.0,44239.0,['Diego Alves'],['Daniel Parejo'],12.0
2013,6,0,8.0,38.0,13.0,10.0,15.0,51.0,53.0,-2.0,49.0,36435.0,['Diego Alves'],['Jonas'],10.0
2012,6,0,5.0,38.0,19.0,8.0,11.0,67.0,54.0,13.0,65.0,34658.0,['Diego Alves'],['Roberto Soldado'],24.0
2011,6,0,3.0,38.0,17.0,10.0,11.0,59.0,44.0,15.0,61.0,42116.0,['Vicente Guaita'],['Roberto Soldado'],17.0
2010,6,0,3.0,38.0,21.0,8.0,9.0,64.0,44.0,20.0,71.0,39963.0,['Vicente Guaita'],['Roberto Soldado'],18.0
2009,6,0,3.0,38.0,21.0,8.0,9.0,59.0,40.0,19.0,71.0,41221.0,['César Sánchez'],['David Villa'],21.0
2008,6,0,6.0,38.0,18.0,8.0,12.0,68.0,54.0,14.0,62.0,34789.0,['Renan Brito Soares'],['David Villa'],28.0
2007,6,0,10.0,38.0,15.0,6.0,17.0,48.0,62.0,-14.0,51.0,39641.0,['Timo Hildebrand'],['David Villa'],18.0
2006,6,0,4.0,38.0,20.0,6.0,12.0,57.0,42.0,15.0,66.0,40005.0,['Santiago Cañizares'],['David Villa'],16.0
2005,6,0,3.0,38.0,19.0,12.0,7.0,58.0,33.0,25.0,69.0,36126.0,['Santiago Cañizares'],['David Villa'],25.0
2004,6,0,7.0,38.0,14.0,16.0,8.0,54.0,39.0,15.0,58.0,43895.0,['Santiago Cañizares'],['Marco Di Vaio'],11.0
2003,6,0,1.0,38.0,23.0,8.0,7.0,71.0,27.0,44.0,77.0,45563.0,['Santiago Cañizares'],['Mista'],19.0
2002,6,0,5.0,38.0,17.0,9.0,12.0,56.0,35.0,21.0,60.0,45773.0,['Santiago Cañizares'],"['Pablo Aimar', 'Fábio Aurélio']",8.0
2001,6,0,1.0,38.0,21.0,12.0,5.0,51.0,27.0,24.0,75.0,45211.0,['Santiago Cañizares'],['Rubén Baraja'],7.0
2000,6,0,5.0,38.0,18.0,9.0,11.0,55.0,34.0,21.0,63.0,42737.0,['Santiago Cañizares'],['Juan Sánchez'],12.0
1999,6,0,3.0,38.0,18.0,10.0,10.0,59.0,39.0,20.0,64.0,45253.0,['Santiago Cañizares'],['Gaizka Mendieta'],13.0
1998,6,0,4.0,38.0,19.0,8.0,11.0,63.0,39.0,24.0,65.0,45253.0,,['Claudio López'],21.0
1997,6,0,9.0,38.0,16.0,7.0,15.0,58.0,52.0,6.0,55.0,45253.0,,"['Adrian Ilie', 'Claudio López']",12.0
1996,6,0,10.0,42.0,15.0,11.0,16.0,63.0,59.0,4.0,56.0,45253.0,,"['Goran Vlaović', 'Leandro Machado']",8.0
1995,6,0,2.0,42.0,26.0,5.0,11.0,77.0,51.0,26.0,83.0,45253.0,,['Predrag Mijatović'],28.0
1994,6,0,10.0,38.0,13.0,12.0,13.0,53.0,48.0,5.0,38.0,45253.0,,['Predrag Mijatović'],12.0
1993,6,0,7.0,38.0,14.0,12.0,12.0,55.0,50.0,5.0,40.0,45253.0,,['Predrag Mijatović'],16.0
1992,6,0,4.0,38.0,19.0,10.0,9.0,60.0,33.0,27.0,48.0,45253.0,,['Lyuboslav Penev'],20.0
1991,6,0,4.0,38.0,20.0,7.0,11.0,63.0,42.0,21.0,47.0,45253.0,,['Lyuboslav Penev'],13.0
1990,6,0,7.0,38.0,15.0,10.0,13.0,44.0,40.0,4.0,40.0,45253.0,,['Fernando Gómez Colomer'],10.0
1989,6,0,2.0,38.0,20.0,13.0,5.0,67.0,42.0,25.0,53.0,45253.0,,"['Fernando Gómez Colomer', 'Lyuboslav Penev']",13.0
1988,6,0,3.0,38.0,18.0,13.0,7.0,39.0,26.0,13.0,49.0,45253.0,,['Fernando Gómez Colomer'],14.0
2023,3,2,48.0,4.0,4.0,0.0,0.0,9.0,3.0,6.0,12.0,66858.0,['Kepa Arrizabalaga'],['Jude Bellingham'],3.0
2022,3,2,3.5,12.0,8.0,2.0,2.0,26.0,13.0,13.0,26.0,58761.0,['Thibaut Courtois'],['Vinicius Júnior'],7.0
2021,3,2,1.0,13.0,9.0,0.0,4.0,29.0,14.0,15.0,27.0,48111.0,['Thibaut Courtois'],['Karim Benzema'],15.0
2020,3,2,3.5,12.0,6.0,3.0,3.0,19.0,14.0,5.0,21.0,70438.0,['Thibaut Courtois'],['Karim Benzema'],6.0
2019,3,2,12.0,8.0,3.0,2.0,3.0,16.0,12.0,4.0,11.0,70438.0,['Thibaut Courtois'],['Karim Benzema'],5.0
2018,3,2,12.0,8.0,5.0,0.0,3.0,15.0,10.0,5.0,15.0,66314.0,['Thibaut Courtois'],['Karim Benzema'],4.0
2017,3,2,1.0,13.0,9.0,2.0,2.0,33.0,16.0,17.0,29.0,75398.0,['Keylor Navas'],['Cristiano Ronaldo'],15.0
2016,3,2,1.0,13.0,9.0,3.0,1.0,35.0,18.0,17.0,30.0,75547.0,['Keylor Navas'],['Cristiano Ronaldo'],12.0
2015,3,2,1.0,13.0,9.0,3.0,1.0,28.0,6.0,22.0,30.0,72831.0,['Keylor Navas'],['Cristiano Ronaldo'],16.0
2014,3,2,3.5,12.0,8.0,2.0,2.0,24.0,9.0,15.0,26.0,71579.0,['Iker Casillas'],['Cristiano Ronaldo'],10.0
2013,3,2,1.0,13.0,10.0,2.0,1.0,41.0,10.0,31.0,32.0,78426.0,['Iker Casillas'],['Cristiano Ronaldo'],17.0
2012,3,2,3.5,12.0,5.0,4.0,3.0,26.0,18.0,8.0,19.0,71313.0,['Diego López'],['Cristiano Ronaldo'],12.0
2011,3,2,3.5,12.0,7.0,4.0,1.0,35.0,9.0,26.0,25.0,67644.0,['Iker Casillas'],['Cristiano Ronaldo'],10.0
2010,3,2,3.5,12.0,7.0,4.0,1.0,25.0,6.0,19.0,25.0,71583.0,['Iker Casillas'],"['Karim Benzema', 'Cristiano Ronaldo']",6.0
2009,3,2,12.0,8.0,4.0,2.0,2.0,16.0,9.0,7.0,14.0,75800.0,['Iker Casillas'],['Cristiano Ronaldo'],7.0
2008,3,2,12.0,8.0,4.0,0.0,4.0,9.0,10.0,-1.0,12.0,68750.0,['Iker Casillas'],"['Raúl', 'Ruud van Nistelrooy']",3.0
2007,3,2,12.0,8.0,3.0,2.0,3.0,15.0,13.0,2.0,11.0,75532.0,['Iker Casillas'],['Raúl'],5.0
2006,3,2,12.0,8.0,4.0,2.0,2.0,18.0,12.0,6.0,14.0,71854.0,['Iker Casillas'],['Ruud van Nistelrooy'],6.0
2005,3,2,12.0,8.0,3.0,2.0,3.0,10.0,9.0,1.0,11.0,69796.0,['Iker Casillas'],"['Iván Helguera', 'Raúl']",2.0
2004,3,2,12.0,10.0,6.0,2.0,2.0,17.0,11.0,6.0,20.0,67193.0,['Iker Casillas'],"['Luís Figo', 'Raúl']",4.0
2003,3,2,6.0,10.0,6.0,3.0,1.0,18.0,11.0,7.0,21.0,59429.0,['Iker Casillas'],['Ronaldo'],4.0
2002,3,2,3.5,16.0,7.0,5.0,4.0,33.0,22.0,11.0,26.0,65062.0,['Iker Casillas'],['Raúl'],9.0
2001,3,2,1.0,17.0,12.0,4.0,2.0,35.0,14.0,21.0,40.0,71805.0,['César Sánchez'],['Raúl'],6.0
2000,3,2,3.5,16.0,9.0,2.0,5.0,35.0,23.0,12.0,29.0,58164.0,['Iker Casillas'],['Raúl'],7.0
1999,3,2,1.0,17.0,10.0,4.0,4.0,35.0,23.0,12.0,34.0,48078.0,['Iker Casillas'],['Raúl'],10.0
1998,3,2,6.0,8.0,4.0,1.0,3.0,18.0,11.0,7.0,13.0,48078.0,,"['Raúl', 'Sávio']",3.0
1997,3,2,1.0,11.0,7.0,3.0,1.0,22.0,5.0,17.0,24.0,48078.0,,"['Fernando Morientes', 'Davor Šuker']",4.0
1995,3,2,6.0,8.0,4.0,1.0,3.0,12.0,7.0,5.0,13.0,48078.0,,['Raúl'],6.0
1994,3,3,60.0,6.0,3.0,1.0,2.0,11.0,8.0,3.0,10.0,,,['Iván Zamorano'],3.0
1992,3,3,6.0,8.0,5.0,1.0,2.0,18.0,11.0,7.0,16.0,,,"['Fernando Hierro', 'Iván Zamorano']",5.0
1991,3,3,3.5,10.0,6.0,2.0,2.0,15.0,8.0,7.0,20.0,,,['Gheorghe Hagi'],3.0
1990,3,2,6.0,6.0,3.0,2.0,1.0,22.0,7.0,15.0,11.0,48078.0,,['Sebastián Losada'],5.0
2023,2,5,75.0,1.0,1.0,0.0,0.0,12.0,0.0,12.0,3.0,2002.0,['Daniel Fuzato'],['Óscar Rodríguez Arnaiz'],3.0
2022,2,5,24.0,3.0,2.0,0.0,1.0,7.0,5.0,2.0,6.0,2002.0,['Kiko Casilla'],['Munir El Haddadi'],4.0
2021,2,5,117.1875,2.0,1.0,0.0,1.0,5.0,6.0,-1.0,3.0,2002.0,['Rubén Yáñez'],['Jaime Mata'],3.0
2020,2,5,33.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,2002.0,"['David Soria', 'Rubén Yáñez']","['Ángel Rodríguez', 'Enes Ünal']",1.0
2019,2,5,33.0,2.0,1.0,0.0,1.0,2.0,3.0,-1.0,3.0,2002.0,,,
2018,2,5,5.0,6.0,4.0,1.0,1.0,11.0,6.0,5.0,13.0,2002.0,['Leandro Chichizola'],['Ángel Rodríguez'],5.0
2017,2,5,17.0,2.0,0.0,0.0,2.0,0.0,4.0,-4.0,0.0,7731.0,['Emiliano Martínez'],,
2016,2,5,44.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,5000.0,['Alberto García'],,
2015,2,5,17.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,5000.0,['Balázs Megyeri'],"['Santiago Vergini', 'Álvaro Vázquez']",1.0
2014,2,5,5.0,6.0,3.0,1.0,2.0,7.0,4.0,3.0,10.0,833.0,"['Jordi Codina', 'Jonathan López']","['Álvaro Vázquez', 'Pablo Sarabia']",2.0
2023,5,5,75.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,28104.0,['Ørjan Nyland'],"['Rafa Mir', 'Youssef En-Nesyri']",1.0
2022,5,5,6.0,5.0,4.0,0.0,1.0,12.0,2.0,10.0,12.0,28104.0,['Marko Dmitrović'],['Youssef En-Nesyri'],4.0
2021,5,5,12.0,4.0,2.0,1.0,1.0,5.0,3.0,2.0,7.0,28104.0,['Marko Dmitrović'],['Rafa Mir'],2.0
2020,5,5,3.0,7.0,6.0,0.0,1.0,12.0,3.0,9.0,18.0,28104.0,['Yassine Bounou'],['Luuk de Jong'],3.0
2019,5,5,9.0,4.0,3.0,0.0,1.0,10.0,4.0,6.0,9.0,28104.0,['Tomáš Vaclík'],"['Fernando', 'Lucas Ocampos']",1.0
2018,5,5,5.0,6.0,3.0,1.0,2.0,7.0,8.0,-1.0,10.0,6636.0,['Juan Soriano'],"['André Silva', 'Wissam Ben Yedder']",2.0
2017,5,5,2.0,9.0,7.0,1.0,1.0,19.0,9.0,10.0,22.0,5878.0,['Sergio Rico'],['Joaquín Correa'],5.0
2016,5,5,9.0,4.0,2.0,1.0,1.0,17.0,8.0,9.0,7.0,23937.0,['David Soria'],['Wissam Ben Yedder'],5.0
2015,5,5,2.0,9.0,7.0,1.0,1.0,22.0,4.0,18.0,22.0,3667.0,['Sergio Rico'],['Michael Krohn-Dehli'],3.0
2014,5,5,5.0,6.0,5.0,0.0,1.0,19.0,6.0,13.0,15.0,3667.0,['Sergio Rico'],['Iago Aspas'],7.0
